[2025-07-28 13:12:12] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-28 13:27:28] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-28 14:59:02] Move from row: 1, col: 0 to row: 2, col: 0
[2025-07-28 14:59:10] Move from row: 2, col: 0 to row: 4, col: 0
[2025-07-28 14:59:21] Move from row: 4, col: 0 to row: 5, col: 0
[2025-07-28 14:59:28] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-28 14:59:37] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-28 15:28:41] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-28 15:28:51] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-28 15:29:00] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-28 15:29:09] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-28 15:31:27] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-28 15:31:37] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-28 15:31:45] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-28 15:31:53] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-28 15:37:38] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-28 15:37:51] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-28 15:38:00] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-28 15:38:08] Move from row: 6, col: 1 to row: 7, col: 2
[2025-07-28 15:45:38] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-28 15:45:47] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-28 15:46:04] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-28 15:46:12] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-28 15:51:58] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-28 15:52:08] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-28 15:52:23] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-28 15:52:32] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-29 00:04:45] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 10:49:00] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 10:49:08] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-29 10:49:20] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 10:49:27] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-29 10:50:00] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 10:50:09] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-29 10:50:18] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 10:50:27] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-29 10:50:56] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 10:51:05] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-29 10:51:15] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 10:51:23] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-29 10:51:42] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 10:51:50] Move from row: 3, col: 0 to row: 5, col: 0
[2025-07-29 10:51:58] Move from row: 5, col: 0 to row: 6, col: 1
[2025-07-29 10:52:05] Move from row: 6, col: 1 to row: 7, col: 0
[2025-07-29 10:53:50] Move from row: 1, col: 0 to row: 3, col: 0
[2025-07-29 10:53:58] Move from row: 3, col: 0 to row: 5, col: 0
